Document,Title,Type,Organization,Org Abbreviation,Statement.Year,Statement.Month,Statement.Day,Statement.Individual,Retrieval Date (YYMMDD),url or source
120202 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,2,2,,161215,
120226 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,2,26,,161215,URL: web.archive.org/web/20130605081317/http://www.ikhwansyria.com/Portals/Content/?Name=%D9%81%D8%B1%D9%82%20%D8%A7%D9%84%D9%82%D8%AA%D9%84%20%D8%A7%D9%84%D8%A3%D8%B3%D8%AF%D9%8A%D8%A9%20%D9%81%D9%8A%20%D9%85%D8%AC%D8%A7%D8%B2%D8%B1%20%D8%A8%D8%A7%D8%A8%D8%A7%20%D8%B9%D9%85%D8%B1%D9%88%20..%20%D8%A7%D9%84%D8%B0%D8%A8%D8%AD%20%20%D8%A8%D8%A7%D9%84%D8%B3%D9%83%D9%8A%D9%86%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%84%D9%87%D9%88%D9%8A%D8%A9..%202722012&info=YVdROU16QTRNemttYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
120310 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,3,10,,161215,URL: web.archive.org/web/20130605073936/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%20%D8%A7%D9%84%D8%AE%D8%AA%D8%A7%D9%85%D9%8A%20%D9%84%D9%85%D8%AC%D9%84%D8%B3%20%D8%B4%D9%88%D8%B1%D9%89%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9..%201032012&info=YVdROU16QTRNemdtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
120417 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,4,17,,161215,URL: web.archive.org/web/20130605014717/http://www.ikhwansyria.com/Portals/Content/?Name=%D9%83%D9%85%D8%A7%20%D8%B5%D9%86%D8%B9%D9%86%D8%A7%20%D8%A7%D9%84%D8%AC%D9%84%D8%A7%D8%A1%20%D8%A7%D9%84%D8%A3%D9%88%D9%84..%20%D9%85%D8%B9%D8%A7%D9%8B%20%D9%86%D8%B5%D9%86%D8%B9%20%D8%A7%D9%84%D8%AC%D9%84%D8%A7%D8%A1%20%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A..%201742012&info=YVdROU16QTNPVFVtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
120512 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,5,12,,161215,URL: web.archive.org/web/20130605020506/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%AF%D8%B9%D9%88%D8%A9%20%D8%A7%D9%84%D9%85%D8%AC%D8%AA%D9%85%D8%B9%20%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%20%D8%A5%D9%84%D9%89%20%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9%20%D8%A7%D9%84%D8%AD%D9%82%D9%8A%D9%82%D8%A9%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9..%201252012&info=YVdROU16QTNPVFltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
120720 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,7,20,,161215,URL: web.archive.org/web/20130605134319/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%AA%D8%BA%D9%8A%D8%A8%20%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A9%20%D9%88%D8%AA%D8%AD%D8%B6%D8%B1%20%D8%A7%D9%84%D8%AA%D9%82%D9%88%D9%89%20...%20%20%D9%86%D8%AF%D8%A7%D8%A1%20%D8%A5%D9%84%D9%89%20%D8%B4%D8%B9%D8%A8%D9%86%D8%A7%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%20%D8%A7%D9%84%D8%AD%D8%B1%20%D8%A7%D9%84%D8%A3%D8%A8%D9%8A%202072012&info=YVdROU16QTRNRFFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
120804 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,8,4,,161215,URL: web.archive.org/web/20130605115556/http://www.ikhwansyria.com/Portals/Content/?Name=%D9%82%D9%88%D9%84%20%D8%A8%D8%A7%D9%86%20%D9%83%D9%8A%D9%85%D9%88%D9%86%20:%20%D8%AD%D8%B1%D8%A8%20%D8%A8%D8%A7%D9%84%D9%88%D9%83%D8%A7%D9%84%D8%A9%20%D8%A5%D9%87%D8%A7%D9%86%D8%A9%20%D9%84%D8%B4%D8%B9%D8%A8%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B9%D8%B8%D9%8A%D9%85%20..%20482012&info=YVdROU16QTRNRFltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
120806 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,8,6,,161215,URL: web.archive.org/web/20130605140317/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%AA%D8%B1%D8%AD%D9%8A%D8%A8%20%D8%A8%D8%A7%D9%86%D8%B4%D9%82%D8%A7%D9%82%20%D8%B1%D8%A6%D9%8A%D8%B3%20%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%20..%20%20%D9%84%D9%8A%D9%83%D9%86%20%D8%B1%D9%8A%D8%A7%D8%B6%20%D8%AD%D8%AC%D8%A7%D8%A8%20%D9%82%D8%AF%D9%88%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A9%20....%20682012&info=YVdROU16QTRNRGNtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
120810 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,8,10,,161215,URL: web.archive.org/web/20130605110746/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D8%A7%D9%84%D8%AA%D8%AC%D8%AF%D9%8A%D8%AF%20%D9%84%D9%85%D8%A8%D8%A7%D8%AF%D8%B1%D8%A9%20%D9%83%D9%88%D9%81%D9%8A%20%D8%B9%D9%86%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D9%8A%D8%AA%D8%A9%20%D9%88%D8%AA%D9%83%D9%84%D9%8A%D9%81%20%D8%A7%D9%84%D8%A3%D8%AE%D8%B6%D8%B1%20%D8%A7%D9%84%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85%D9%8A%20%D8%A8%D8%AF%D9%8A%D9%84%D8%A7%20%D9%84%D9%87..%201082012&info=YVdROU16QTROVEltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
120901 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,9,1,,161215,URL: web.archive.org/web/20130605132119/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%B4%D9%87%D8%B1%20%D8%B5%D9%88%D9%85%D9%86%D8%A7%20%D8%B4%D9%87%D8%B1%20%D9%86%D8%B5%D8%B1%D9%86%D8%A7%20%D8%A5%D9%86%20%D8%B4%D8%A7%D8%A1%20%D8%A7%D9%84%D9%84%D9%87%20%20%D8%A3%D9%8A%D9%87%D8%A7%20%D8%A7%D9%84%D8%B5%D8%A7%D8%A6%D9%85%D9%88%D9%86%20%20%D8%A8%D9%88%D8%B1%D9%83%20%D8%B5%D9%88%D9%85%D9%83%D9%85%20-%20%D8%A8%D9%88%D8%B1%D9%83%20%D8%AC%D9%87%D8%A7%D8%AF%D9%83%D9%85%20%E2%80%93%20%D8%A8%D9%88%D8%B1%D9%83%20%D9%86%D8%B5%D8%B1%D9%83%D9%85%20..%2029%20%D8%B4%D8%B9%D8%A8%D8%A7%D9%86%20%E2%80%93%201433%20&info=YVdROU16QTRNRFVtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
