file_name,label,title,type,org_abbreviated,year,month,day,accessed_on,source
101ID_charter,1_101ID,Founding Statement,charter,101ID,14,3,17,161018,https://www.youtube.com/watch?v=nPGWY-V_2uQ
13D_charter,2_13D,Founding Statement of 13D,charter,13D,13,6,18,170317,https://www.youtube.com/watch?v=3xmHskDt_LM
21CF_charter,3_21CF,Founding Statement,charter,21CF,16,10,14,161018,http://stepagency-sy.net/archives/112069
AA_selfdescription,4_IA,Who Are We,self_description,IA,15,,,161018,http://alazaarmy.com/?page_id=2338
AaS_charter,5_AaS,Charter of the movement,charter,AaS,16,12,1,,https://web.telegram.org/#/im?p=@ahrar_news
AaS_selfdescription,6_AaS,Who is Ahrar al-Sham,self_description,AaS,15,,,160505,http://ahraralsham.net/?page_id=4195
ADF_charter,7_ADeF ,Founding Statement of the ADF,charter,ADeF ,12,11,11,160623,https://www.youtube.com/watch?v=ErenU-Fx-Ro
ADF_selfdescription,8_ADeF ,Who Are We,self_description,ADeF ,13,6,23,161118,https://web.archive.org/web/20130623035337/http://www.asala-tanmia.com/%D9%85%D9%86-%D9%86%D8%AD%D9%86%D8%9F
AM_selfdescription,9_AM,Clarification of our Movement,self_description,AM,14,1,4,160519,http://orient-news.net/index.php?part=news_show&id=7030
ARC_charter,10_ARL,Our position,charter,ARL,15,8,,161006,http://alrahmancorps.com/%D9%85%D9%86-%D9%86%D8%AD%D9%86/
ARC_selfdescription,11_ARL,Profile of ARL,self_description,ARL,15,8,,161006,http://alrahmancorps.com/%D9%85%D9%86-%D9%86%D8%AD%D9%86/
ASB_charter,12_ASB,Founding Statement,charter,ASB,12,,,,
ASU_charter,13_ASU,Statement,charter,ASU,11,12,11,160822,http://www.ettihad-sy.com/news-ettihad/bayan-b/3007.html
ASU_selfdescription,14_ASU,Profile of ASU,self_description,ASU,12,,,160622,http://www.etilaf.org/%D9%85%D9%83%D9%88%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%A6%D8%AA%D9%84%D8%A7%D9%81/%D8%A7%D9%84%D9%83%D8%AA%D9%84-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9/%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%A7%D8%B4%D8%AA%D8%B1%D8%A7%D9%83%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A.html
Daesh_charter,15_Daesh,Founding Sermons,charter,Daesh,13,,,,
Daesh_selfdescription,16_Daesh,Good Tidings to the Believers,self_description,Daesh,13,4,7,,
CM_charter,17_CM,The Genie is Out of the Bottle,charter,CM,14,4,25,160822,http://www.mouatana.org/archives/10118
CM_selfdescription,18_CM,Profile of CM,self_description,CM,12,,,160622,http://www.mouatana.org/%D9%85%D9%86-%D9%86%D8%AD%D9%86
CPC_charter,19_CPC,Statement,charter,CPC,14,6,4,160617,http://www.all4syria.info/Archive/150659
CRS_charter,20_CRS,Founding Statement of the CRS,charter,CRS,12,9,30,160617,https://www.youtube.com/watch?v=ecldcfDTPOE
CRS_selfdescription,21_CRS,Facebook Profile,self_description,CRS,12,,,160617,https://www.facebook.com/rsc.syria/info/?entry_point=page_nav_about_item&tab=page_info
CSDS_selfdescription,22_CSDS,Who Are We,self_description,CSDS,11,12,7,160623,https://www.youtube.com/watch?v=Tp5G-BFvKe0
FA_selfdescription,23_FA,Founding Statement,self_description,FA,15,1,2,170319,http://www.alarabiya.net/ar/arab-and-world/syria/2015/01/02/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A3%D9%88%D9%84-%D9%8A%D9%88%D8%AD%D8%AF-%D8%A7%D9%84%D9%81%D8%B5%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D8%AF%D8%B1%D8%B9%D8%A7-.html
FSA_charter,24_FSA,Founding Statement,charter,FSA,12,3,29,160504,http://all4syria.info/Archive/51955
FSA_selfdescription,25_FSA,Charter of Honor,self_description,FSA,13,4,30,160504,http://all4syria.info/Archive/51955
FU_charter,26_FU,Founding Statement,charter,FU,12,12,19,161028,https://www.youtube.com/watch?v=QGB8Hs_KtaM
HFI_charter,27_HFI,Goals of this Movement,charter,HFI,12,5,1,161006,http://www.muslm.org/vb/showthread.php?488644-%D8%AA%D8%B9%D8%B1%D9%8A%D9%81-%D8%A8%D8%AD%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%81%D8%AC%D8%B1-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%81%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A%D8%A9
