و,,
ا,,
ى,,
وهو,,
ومن,,
اذا,,
اما,,
ان,,
اننا,,
انه,,
انتم,,
انها,,
او,,
اي,,
بان,,
بعد,,
بل,,
بما,,
به,,
بها,,
تلك,,
تم,,
تي,,
ثم,,
حيث,,
ذات,,
ذلك,,
ذي,,
ذين,,
على,,
عليا,,
عليه,,
عليها,,
عن,,
فان,,
في,,
فيه,,
فيها,,
قد,,
كما,,
لا,,
غير,,
لم,,
لن,,
له,,
لها,,
لهم,,
ما,,
مع,,
من,,
منها,,
منذ,,
نحن,,
نحو,,
ه,,
هذه,,
هذا,,
هو,,
هي,,
ى,,
يتم,,
يه,,
قال,,
اجل,,
كان,,
,نريدها,outlier
بلدا,outlier,
خلال,,
ـ,,
بين,,
تحت,,
عبر,,
عدم,,
,اسم,outlier
عز,,
جل,,
ايها,,
حتى,,
تعالى,outlier,
دون,,
لكل,,
كل,,
كانت,,
احد,,
,حلب,Outlier
بعض,,
بشكل,,
ضد,,
قبل,,
اعاد,,
يكون,,
ارهاب,Outlier,
يجب,,
ت,,
وان,,
ولا,,
وعلى,,
وفي,,
والتي,,
وذلك,,
وما,,
وقد,,
وهي,,
ج,,
ي,,
ب,,
هذ,,
ذ,,
ل,,
نريد,,
لان,,
لكن,,
علي,,
اشكال,,
شكل,,
يعمل,,
تام,,
رو,,
ليس,,
قايم,,
فاعل,,
با,,
م,,
يا,,
مجال,,
ك,,
